Index,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,PagesLead,Status,PageNumber
95,Jesus I Am Resting,,Jean Sophia Pigott,G,G,0,4/4,148576,1876,Public Domain,Hymn,2,Final,305
96,Jesus Is Alive,,"Michael Farren, Tiarne Tranter",C,C,65,6/8,7121850,2018,CityAlight Music,Contemporary,3,Final,249
97,Jesus Messiah,,"Chris Tomlin, Daniel Carson",B,B,86,4/4,5183443,2008,sixsteps Music,Contemporary,3,Final,253
98,Jesus Paid It All,,Elvina M. Hall,C,Db,76,3/4,22331,1865,Public Domain,Hymn,1,Final,248
99,Jesus Son Of God,,"Chris Tomlin, Jason Ingram",B,B,76,4/4,6223539,2012,S. D. G. Publishing,Contemporary,4,Final,261
100,Just As I Am,,Charlotte Elliot,C,Db,86,6/4,23206,1835,Public Domain,Hymn,1,Final,252
101,Just As I Am,I Come Broken,"Charlotte Elliott, David Moffitt",A,A,73,3/4,5635850,2009,CCTB Music,Contemporary,2,Final,307
102,King Of Kings,,"Brooke Ligertwood, Scott Ligertwood",D,D,68,4/4,7127647,2019,Hillsong Music Publishing Australia,Contemporary,3,Final,265
103,King Of My Heart,,"John M. McMillan, Sarah McMillan",A,Bb,68,4/4,7046145,2015,Meaux Jeaux Music,Contemporary,4,Final,273
104,Knowing You,All I Once Held Dear,Graham Kendrick,C,C,54,4/4,1045238,1993,Make Way Music,Intermediate,2,Final,317
105,Lamb Of God,,Twila Paris,C,C,52,3/4,16787,1985,Mountain Spring Music,Intermediate,2,Final,319
106,Lay Me Down,,"Chris Tomlin, Jason Ingram",C,C,130,4/4,6223577,2012,Atlas Mountain Songs,Contemporary,4,Final,289
107,Lead Me To The Cross,Quiet I Come,Brooke Ligertwood,D,D,75,4/4,4785828,2006,Hillsong Music Publishing Australia,Contemporary,3,Final,277
108,Like A River Glorious,,James Mountain,F,F,0,4/4,33935,1874,Public Domain,Hymn,1,Final,268
109,"Lion And The Lamb, The",,"Brenton Brown, Brian Johnson",B,B,90,4/4,7038281,2015,Meaux Mercy,Contemporary,3,Final,281
110,Living Hope,,"Phil Wickham, Brian Johnson",D,Eb,72,4/4,7106807,2017,Phil Wickham Music,Contemporary,4,Final,293
111,Lord I Lift Your Name On High,,Rick Founds,G,G,86,4/4,117947,1989,Universal Music,Intermediate,1,Final,280
112,Lord I Need You,,"Christy Nockels, Daniel Carson",B,B,74,4/4,5925687,2011,sixsteps Music,Contemporary,4,Final,297
113,"Lord Is My Salvation, The",,"Jonas Myrin, Keith Getty",A,A,69,4/4,7063694,2016,Capitol CMG Paragon,Contemporary,4,Final,301
114,"Lord Our God, The",,"Jason Ingram, Kristian Stanfill",C,C,72,4/4,6518055,2013,sixsteps Music,Contemporary,2,Final,337
115,"Love Of God, The",,Frederick M. Lehman,D,D,82,3/4,18448,1917,Public Domain,Hymn,2,Final,339
116,Majesty,,Jack Hayford,A,Bb,0,4/4,1527,1981,New Spring,Intermediate,2,Final,353
117,Majesty,Here I Am,"Martin Smith, Stuart Garrard",A,Bb,68,4/4,4219071,2004,Curious? Music UK,Contemporary,2,Final,355
118,Man Of Sorrows,,"Brooke Ligertwood, Matt Crocker",F,F,72,4/4,6476063,2012,Hillsong Music Publishing Australia,Contemporary,3,Final,309
119,Mercy,,"Matt Redman, Jonas Myrin",C,C,73,4/4,7000689,2013,Atlas Mountain Songs,Contemporary,3,Final,313
120,Mighty To Save,,"Ben Fielding, Reuben Morgan",A,A,74,4/4,4591782,2006,Hillsong Music Publishing Australia,Contemporary,4,Final,321
121,Mine Eyes Have Seen The Glory,Battle Hymn,Julia W. Howe,G,Bb,90,4/4,24133,1862,Public Domain,Hymn,2,Final,373
122,Mountain,,"Matt Crocker, Joel Houston",D,D,76,4/4,6428853,2012,Hillsong Music Publishing Australia,Contemporary,4,Final,325
123,Mountain,You're Wonderful,"Bryan Torwalt, Katie Torwalt",B,B,91,4/4,7065990,2016,Phil Wickham Music,Contemporary,3,Final,329
124,My Lighthouse,,"Gareth Gilkeson, Chris Llewellyn",C,C,110,4/4,7002032,2013,Thankyou Music,Contemporary,3,Final,333
125,My Redeemer Lives,,Reuben Morgan,E,E,138,4/4,2397964,1998,Hillsong Music Publishing Australia,Intermediate,2,Final,375
126,Nearer My God To Thee,,Sarah F. F. Adams,F,F,100,4/4,78835,1841,Public Domain,Hymn,2,Final,377
127,New Wine,,Brooke Ligertwood,A,Bb,77,4/4,7102397,2017,Hillsong Music Publishing Australia,Contemporary,4,Final,341
128,No Longer Slaves,,"Jonathan D. Helser, Brian Johnson",A,Bb,74,4/4,7030123,2014,Bethel Music Publishing,Contemporary,3,Final,345
129,O Church Arise,,"Keith Getty, Stuart Townend",D,D,58,3/4,4611992,2005,Thankyou Music,Contemporary,2,Final,379
130,O Come To The Altar,,"Chris Brown, Mack Brock",B,B,140,6/8,7051511,2015,Elevation Worship Publishing,Contemporary,4,Final,357
131,O Praise The Name,,"Benjamin Hastings, Dean Ussher",C,C,72,4/4,7037787,2015,Hillsong Music Publishing Australia,Contemporary,3,Final,349
132,O The Deep Deep Love Of Jesus,,Samuel T. Francis,Em,Em,72,4/4,137178,1875,Public Domain,Hymn,2,Final,381
133,Oceans,Where Feet May Fail,"Joel Houston, Matt Crocker",D,D,60,4/4,6428767,2012,Hillsong Music Publishing Australia,Contemporary,4,Final,361
134,Oh What Love,,"Aaron Powell, Elias Dummer",D,D,70,4/4,7044259,2015,Thankyou Music,Contemporary,3,Final,365
135,Once Again,,Matt Redman,D,Eb,71,4/4,1564362,1995,Thankyou Music,Intermediate,2,Final,383
136,One Thing Remains,Your Love Never Fails,"Brian Johnson, Christa B. Gifford",G,Bb,78,4/4,5508444,2010,ChristaJoy Music Publishing,Contemporary,3,Final,369
137,Onward Christian Soldiers,,Sabine B. Gould,F,F,96,4/4,47017,1865,Public Domain,Hymn,2,Final,409
138,Open The Eyes Of My Heart,,Paul Baloche,E,E,112,4/4,2298355,1997,Integrity's Hosanna! Music,Intermediate,2,Final,411
139,Our God,Water You Turned Into Wine,"Chris Tomlin, Jesse Reeves",B,B,105,4/4,5677416,2010,Atlas Mountain Songs,Contemporary,5,Final,385
140,"Power Of The Cross, The",,"Keith Getty, Stuart Townend",A,A,68,4/4,4490766,2005,Thankyou Music,Contemporary,2,Final,417
141,"Power Of Your Love, The",,Geoff Bullock,A,Bb,85,4/4,917491,1992,Geoff Bullock Music,Intermediate,2,Final,419
142,Praise You In This Storm,,"Bernie Herms, Mark Hall",F,F#,84,4/4,4543620,2005,My Refuge Music,Contemporary,4,Final,393
143,Reckless Love,,"Cory Asbury, Caleb Culver",F,F#,56,6/8,7089641,2017,Cory Asbury Publishing,Contemporary,4,Final,397
144,Resurrecting,,"Chris Brown, Mack Brock",C,Db,74,4/4,7051507,2015,Elevation Worship Publishing,Contemporary,3,Final,390
145,Revelation Song,,Jennie L. Riddle,D,D,60,4/4,4447960,2004,Gateway Create Publishing,Contemporary,3,Final,401
146,Rooftops,,"Lindsey Sweat, Ben Williams",E,E,100,4/4,5875153,2010,Capitol CMG Amplifier,Contemporary,3,Final,405
147,Scandal Of Grace,,"Joel Houston, Matt Crocker",C,C,42,6/8,6428750,2012,Hillsong Music Publishing Australia,Contemporary,2,Final,426
148,Seek Ye First,,Karen Lafferty,C,C,120,4/4,1352,1972,CCCM Music,Intermediate,1,Final,404
149,Shout To The Lord,,Darlene Zschech,A,A,76,4/4,1406918,1993,Wondrous Worship,Intermediate,2,Final,437
150,So Will I,100 Billion X,"Joel Houston, Benjamin Hastings",A,A,64,2/2,7084123,2017,Hillsong Music Publishing Australia,Contemporary,5,Final,421
151,"Solid Rock, The",,Edward Mote,F,F,82,3/4,25417,1834,Public Domain,Hymn,1,Final,408
152,"Stand, The",,Joel Houston,A,A,77,4/4,4705248,2005,Hillsong Music Publishing Australia,Contemporary,2,Final,439
153,Still,Hide Me Now,Reuben Morgan,C,C,70,4/4,3940963,2002,Hillsong Music Publishing Australia,Contemporary,2,Final,446
154,Stronger,,"Ben Fielding, Reuben Morgan",C,C,75,3/4,5060810,2007,Hillsong Music Publishing Australia,Contemporary,3,Final,413
155,Sweetly Broken,,Jeremy Riddle,B,B,96,4/4,4514635,2005,Mercy / Vineyard Publishing,Contemporary,4,Final,429
156,Take My Life And Let It Be,,Frances R. Havergal,F,F,86,4/4,1390,1874,Public Domain,Hymn,1,Final,416
157,There Is A Fountain,,William Cowper,A,Bb,92,4/4,27707,1772,Public Domain,Hymn,2,Final,449
158,There Is A Redeemer,,Melody Green,D,D,92,4/4,11483,1982,Universal Music,Intermediate,1,Final,428
159,This Is Amazing Grace,,"Jeremy Riddle, Josh Farro",G,Bb,100,4/4,6333821,2012,Phil Wickham Music,Contemporary,5,Final,441
160,This Is My Father's World,,"Aaron Purdy, Franklin L. Sheppard",D,D,66,4/4,6167640,2009,Jennie Lee Riddle Music,Contemporary,4,Final,433
161,Tis So Sweet To Trust In Jesus,,Lousa M. R. Stead,G,G,90,4/4,22609,1882,Public Domain,Hymn,1,Final,448
162,To God Be The Glory,,Fanny Jane Crosby,G,G,90,3/4,23426,1875,Public Domain,Hymn,2,Final,451
163,Tremble,,"Andres Figueroa, Hank Bentley",C,C,74,4/4,7065049,2016,All Essential Music,Contemporary,2,Final,485
164,Trust And Obey,,John H. Sammis,F,F,96,3/4,22094,1887,Public Domain,Hymn,1,Final,472
165,Victor's Crown,,"Darlene Zschech, Israel Houghton",C,C,75,4/4,6454621,2013,Worship Together Music,Contemporary,5,Final,453
166,Victory In Jesus,I Heard An Old Old Story,Eugene M. Bartlett,G,G,124,4/4,1259,1939,Public Domain,Hymn,2,Final,487
167,Way Maker,,Osinachi K. O. Egbu,E,E,68,4/4,7115744,2016,Integrity Music Europe,Contemporary,4,Final,461
168,We Believe,,"Matthew Hooper, Richie Fike",D,D,66,4/4,6367165,2015,Integrity Worship Music,Contemporary,4,Final,465
169,What A Beautiful Name,,"Ben Fielding, Brooke Ligertwood",D,D,68,4/4,7068424,2016,Hillsong Music Publishing Australia,Contemporary,3,Final,458
170,What A Friend We Have In Jesus,,"Charles Converse, Joseph Scriven",F,F,0,4/4,27714,1855,Public Domain,Hymn,1,Final,480
171,When I Survey The Wondrous Cross,,Isaac Watts,F,F,96,4/4,27893,1707,Public Domain,Hymn,1,Final,484
172,When The Roll Is Called Up Yonder,,James M. Black,G,Ab,108,4/4,31315,1893,Public Domain,Hymn,1,Final,496
173,Who Am I,,Mark Hall,B,B,66,4/4,4196651,2003,My Refuge Music,Contemporary,4,Final,473
174,Who You Say I Am,,"Ben Fielding, Reuben Morgan",A,A,58,6/8,7102401,2017,Hillsong Music Publishing Australia,Contemporary,3,Final,469
175,Whom Shall I Fear,God Of Angel Armies,"Chris Tomlin, Ed Cash",C,C,75,4/4,6440288,2012,Alletrop Music,Contemporary,3,Final,477
176,"Wonderful Cross, The",,"Chris Tomlin, Isaac Watts",D,D,88,4/4,3148435,2000,sixsteps Music,Contemporary,2,Final,505
177,Wonderful Merciful Savior,,"Dawn Rodgers, Eric Wyse",C,C,110,3/4,106879,1989,Curb Dayspring Music,Intermediate,2,Final,507
178,Yet Not I But Through Christ In Me,,"Jonny Robinson, Rich Thompson",C,C,75,4/4,7121852,2018,CityAlight Music,Contemporary,2,Final,509
179,You Are God Alone,Not A God,"Billy J. Foote, Cindy Foote",A,A,70,4/4,4243463,2004,Billy Foote Music,Contemporary,3,Final,481
180,You Are Holy,Prince Of Piece,"Marc Imboden, Tammi Rhoton",G,G,108,4/4,2332149,1994,Imboden Music,Intermediate,4,Final,489
181,You Are My All In All,,Dennis Jernigan,F,F,80,4/4,825356,1991,"Shepherd's Heart Music, Inc.",Intermediate,1,Final,515
182,You Are My King,Amazing Love,Billy J. Foote,E,E,70,4/4,2456623,1996,worshiptogether.com songs,Intermediate,2,Final,511
183,Your Grace Is Enough,,Matt Maher,G,G,116,4/4,4477026,2003,Thankyou Music,Contemporary,3,Final,493
184,Your Great Name,,"Krissy Nordhoff, Michael Neale",C,C,75,4/4,5393329,2008,Integrity's Praise! Music,Contemporary,4,Final,497
185,Your Love Never Fails,,"Anthony Skinner, Chris McClarney",A,Bb,116,4/4,5337172,2008,Thankyou Music,Contemporary,4,Final,501
186,Your Presence Is Heaven,,"Israel Houghton, Micah Massey",D,D,66,4/4,6214751,2012,Integrity Worship Music,Contemporary,2,Final,513
