Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
54,,,,God Of This City,,"Aaron Boyd, Andrew McCann",C,C,80,4-Apr,5037070,2006,sixsteps Music,Contemporary,Final,4,133,LeadSheet,God Of This City (C).pdf
55,,,,God Of Wonders,,"Marc Byrd, Steve Hindalong",G,"Ab,Bb",82,4-Apr,3118757,2000,Never Say Never Songs,Contemporary,Final,4,137,LeadSheet,God Of Wonders (G).pdf
56,,,,Good Good Father,,"Anthony Brown, Pat Barrett",A,A,48,8-Jun,7036612,2014,Capitol CMG Paragon,Contemporary,Final,3,157,LeadSheet,Good Good Father (A).pdf
57,,,,Gracefully Broken,,"Matt Redman, Jonas Myrin",A,A,88,4-Apr,7091509,2017,Capitol CMG Genesis,Contemporary,Final,4,145,LeadSheet,Gracefully Broken (A).pdf
58,,,,Great Are You Lord,,"David Leonard, Jason Ingram",A,A,144,8-Jun,6460220,2012, Integrity's Alleluia! Music,Contemporary,Final,2,210,LeadSheet,Great Are You Lord (A).pdf
59,,,,Great I Am,,Jared Anderson,D,D,80,4-Apr,5881491,2011,Integrity Worship Music,Contemporary,Final,3,161,LeadSheet,Great I Am (D).pdf
60,,,,Great Is Thy Faithfulness,,"Thomas Chisholm, William Runyan",D,D,75,4-Mar,18723,1923,Public Domain,Hymn,Final,2,233,LeadSheet,Great Is Thy Faithfulness (Beginning To End) (C).pdf
61,,,,Great Is Thy Faithfulness,Beginning To End,"William Runyan, Thomas Chisholm",C,C,100,4-Mar,7109317,2018,Weave Country,Contemporary,Final,3,165,LeadSheet,Great Is Thy Faithfulness (D).pdf
62,,,,Hallelujah For The Cross,,"Jeff Pardo, Ben Glover",D,D,75,4-Apr,7107551,2018,9t One Songs,Contemporary,Final,5,205,LeadSheet,Hallelujah For The Cross (D).pdf
63,,,,Hallelujah For The Cross,Up To The Hill,"Ross King, Todd Wright",A,Bb,115,4-Apr,6550556,2012,Simple Tense Songs,Contemporary,Final,3,169,LeadSheet,Hallelujah For The Cross (Up To The Hill) (A).pdf
64,,,,He Reigns,,"Peter Furler, Steve Taylor",G,G,94,4-Apr,4026635,2003,Soylent Tunes,Contemporary,Final,3,173,LeadSheet,He Reigns (G).pdf
65,,,,Healer,,Mike Guglielmucci,B,B,80,4-Apr,4873981,2007,Planetshakers Ministries Int. Inc.,Contemporary,Final,4,177,LeadSheet,Healer (B).pdf
66,,,,"Heart Of Worship, The",,Matt Redman,D,D,70,4-Apr,2296522,1999,Thankyou Music,Intermediate,Final,2,235,LeadSheet,"Heart Of Worship, The (D).pdf"
67,,,,Here Again,,"Steven Furtick, Chris Brown",C,C,68,4-Apr,7111925,2018,Elevation Worship Publishing,Contemporary,Final,3,181,LeadSheet,Here Again (C).pdf
68,,,,Here For You,,"Jesse Reeves, Matt Maher",G,Ab,85,4-Apr,5925649,2011,Chrysalis Music Ltd.,Contemporary,Final,3,185,LeadSheet,Here For You (G).pdf
69,,,,Here I Am To Worship,,Tim Hughes,E,E,75,4-Apr,3266032,2000,Thankyou Music,Contemporary,Final,2,257,LeadSheet,Here I Am To Worship (E).pdf
70,,,,Here Is Love,,"Robert Lowry, William Rees",G,G,80,4-Mar,3287884,2004,Thankyou Music,Contemporary,Final,3,189,LeadSheet,Here Is Love (G).pdf
71,,,,Holy,Wedding Day,"Aaron Powell, Elias Dummer",A,Bb,57,4-Apr,6129798,2011,Thankyou Music,Contemporary,Final,3,193,LeadSheet,Holy (Wedding Day) (A).pdf
72,,,,Holy Holy Holy,,"John B. Dykes, Reginald Heber",D,D,0,4-Apr,1156,1826,Public Domain,Hymn,Final,1,184,LeadSheet,Holy Holy Holy (D).pdf
73,,,,Hosanna,,Carl Tuttle,G,G,120,4-Apr,21545,1985,Shadow Spring Music,Intermediate,Final,1,188,LeadSheet,Hosanna (G).pdf
74,,,,Hosanna,I See The King Of Glory,Brooke Ligertwood,E,E,75,4-Apr,4785835,2006,Hillsong Music Publishing Australia,Contemporary,Final,3,197,LeadSheet,Hosanna (I See The King Of Glory) (E).pdf
75,,,,Hosanna,Praise Is Rising,"Brenton Brown, Paul Baloche",G,G,114,4-Apr,4662491,2006,Thankyou Music,Contemporary,Final,4,213,LeadSheet,Hosanna (Praise Is Rising) (G).pdf
76,,,,How Deep The Father's Love For Us,,Stuart Townend,D,D,54,4-Apr,1558110,1995,Thankyou Music,Intermediate,Final,1,192,LeadSheet,How Deep The Father's Love For Us (D).pdf
77,,,,How Firm A Foundation,,George Keith,G,Ab,64,2-Feb,107816,1787,Public Domain,Hymn,Final,1,196,LeadSheet,How Firm A Foundation (G).pdf
78,,,,How Great Is Our God,,"Chris Tomlin, Ed Cash",C,C,76,4-Apr,4348399,2004,sixsteps Music,Contemporary,Final,2,259,LeadSheet,How Great Is Our God (C).pdf
79,,,,How Great Thou Art,,Stuart W. K. Hine,B,Bb,48,4-Apr,14181,1953,Stuart Hine Trust,Hymn,Final,2,269,LeadSheet,How Great Thou Art (B).pdf
80,,,,I Can Only Imagine,,Bart Millard,D,D,80,4-Apr,2978857,2002,Simpleville Music,Contemporary,Final,4,217,LeadSheet,I Can Only Imagine (D).pdf
81,,,,I Know Whom I Have Believed,,Daniel W. Whittle,C,Db,96,4-Apr,31762,1883,Public Domain,Hymn,Final,1,200,LeadSheet,I Know Whom I Have Believed (C).pdf
82,,,,I Lift My Hands,,"Chris Tomlin, Louie Giglio",B,B,85,4-Apr,5869884,2010,sixsteps Music,Contemporary,Final,4,221,LeadSheet,I Lift My Hands (B).pdf
83,,,,I Stand Amazed,My Savior's Love,Charles H. Gabriel,G,Ab,106,4-Apr,25297,1905,Public Domain,Hymn,Final,1,212,LeadSheet,I Stand Amazed (G).pdf
84,,,,I Stand In Awe,,Mark Altrogge,A,A,76,4-Apr,23914,1987,Sovereign Grace Praise,Intermediate,Final,2,271,LeadSheet,I Stand In Awe (A).pdf
85,,,,I Surrender All,,"Judson DeVenter, Winfield Weeden",D,D,74,4-Apr,23189,1896,Public Domain,Hymn,Final,1,228,LeadSheet,I Surrender All (D).pdf
86,,,,I Will Follow,,"Chris Tomlin, Jason Ingram",A,Bb,96,4-Apr,5806878,2010,SHOUT! Music Publishing Australia,Contemporary,Final,3,225,LeadSheet,I Will Follow (A).pdf
87,,,,I Will Rise,,"Chris Tomlin, Jesse Reeves",B,B,82,4-Apr,5183450,2008,sixsteps Music,Contemporary,Final,4,237,LeadSheet,I Will Rise (B).pdf
88,,,,I Will Sing Of My Redeemer,,"Travis Cottrell, Philip Paul Bliss",D,Eb,66,8-Sep,7074703,1876,Public Domain,Hymn,Final,3,229,LeadSheet,I Will Sing Of My Redeemer (D).pdf
89,,,,I Will Sing The Wondrous Story,,Francis H. Rawley,F,F,120,4-Mar,2328610,1886,Public Domain,Hymn,Final,2,285,LeadSheet,I Will Sing The Wondrous Story (F).pdf
90,,,,I'll Fly Away,,Albert E. Brumley,G,G,120,4-Apr,26399,1932,Hartford Music Company,Hymn,Final,1,244,LeadSheet,In Christ Alone (D).pdf
91,,,,In Christ Alone,,"Keith Getty, Stuart Townend",D,D,60,4-Mar,3350395,2001,Thankyou Music,Contemporary,Final,2,287,LeadSheet,Indescribable (G).pdf
92,,,,Indescribable,,"Jesse Reeves, Laura Story",G,Bb,60,8-Jun,4403076,2004,Laura Stories,Contemporary,Final,3,241,LeadSheet,It Is Well (Grander Earth) (G).pdf
