Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
74,,,,Hosanna,I See The King Of Glory,Brooke Ligertwood,E,E,75,4-Apr,4785835,2006,Hillsong Music Publishing Australia,Contemporary,Final,,,NumberChart,hosanna-i-see-the-king-of-glory-#.pdf
75,,,,Hosanna,Praise Is Rising,"Brenton Brown, Paul Baloche",G,G,114,4-Apr,4662491,2006,Thankyou Music,Contemporary,Final,,,NumberChart,hosanna-praise-is-rising-#.pdf
76,,,,How Deep The Father's Love For Us,,Stuart Townend,D,D,54,4-Apr,1558110,1995,Thankyou Music,Intermediate,Final,,,NumberChart,how-deep-the-fathers-love-for-us-#.pdf
77,,,,How Firm A Foundation,,George Keith,G,Ab,64,2-Feb,107816,1787,Public Domain,Hymn,Final,,,NumberChart,how-firm-a-foundation-#.pdf
78,,,,How Great Is Our God,,"Chris Tomlin, Ed Cash",C,C,76,4-Apr,4348399,2004,sixsteps Music,Contemporary,Final,,,NumberChart,how-great-is-our-god-#.pdf
79,,,,How Great Thou Art,,Stuart W. K. Hine,B,Bb,48,4-Apr,14181,1953,Stuart Hine Trust,Hymn,Final,,,NumberChart,how-great-thou-art-#.pdf
80,,,,I Can Only Imagine,,Bart Millard,D,D,80,4-Apr,2978857,2002,Simpleville Music,Contemporary,Final,,,NumberChart,i-can-only-imagine-#.pdf
81,,,,I Know Whom I Have Believed,,Daniel W. Whittle,C,Db,96,4-Apr,31762,1883,Public Domain,Hymn,Final,,,NumberChart,i-know-whom-i-have-believed-#.pdf
82,,,,I Lift My Hands,,"Chris Tomlin, Louie Giglio",B,B,85,4-Apr,5869884,2010,sixsteps Music,Contemporary,Final,,,NumberChart,i-lift-my-hands-#.pdf
83,,,,I Stand Amazed,My Savior's Love,Charles H. Gabriel,G,Ab,106,4-Apr,25297,1905,Public Domain,Hymn,Final,,,NumberChart,i-stand-amazed-how-marvelous-#.pdf
84,,,,I Stand In Awe,,Mark Altrogge,A,A,76,4-Apr,23914,1987,Sovereign Grace Praise,Intermediate,Final,,,NumberChart,i-stand-in-awe-#.pdf
85,,,,I Surrender All,,"Judson DeVenter, Winfield Weeden",D,D,74,4-Apr,23189,1896,Public Domain,Hymn,Final,,,NumberChart,i-surrender-all-#.pdf
