Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
76,,,,How Deep The Father's Love For Us,,Stuart Townend,D,D,54,4-Apr,1558110,1995,Thankyou Music,Intermediate,Final,,,ChordSheet,how-deep-the-fathers-love-for-us-D.pdf
77,,,,How Firm A Foundation,,George Keith,G,Ab,64,2-Feb,107816,1787,Public Domain,Hymn,Final,,,ChordSheet,how-firm-a-foundation-G.pdf
78,,,,How Great Is Our God,,"Chris Tomlin, Ed Cash",C,C,76,4-Apr,4348399,2004,sixsteps Music,Contemporary,Final,,,ChordSheet,how-great-is-our-god-C.pdf
79,,,,How Great Thou Art,,Stuart W. K. Hine,B,Bb,48,4-Apr,14181,1953,Stuart Hine Trust,Hymn,Final,,,ChordSheet,how-great-thou-art-B.pdf
80,,,,I Can Only Imagine,,Bart Millard,D,D,80,4-Apr,2978857,2002,Simpleville Music,Contemporary,Final,,,ChordSheet,i-can-only-imagine-D.pdf
81,,,,I Know Whom I Have Believed,,Daniel W. Whittle,C,Db,96,4-Apr,31762,1883,Public Domain,Hymn,Final,,,ChordSheet,i-know-whom-i-have-believed-C.pdf
82,,,,I Lift My Hands,,"Chris Tomlin, Louie Giglio",B,B,85,4-Apr,5869884,2010,sixsteps Music,Contemporary,Final,,,ChordSheet,i-lift-my-hands-B.pdf
83,,,,I Stand Amazed,My Savior's Love,Charles H. Gabriel,G,Ab,106,4-Apr,25297,1905,Public Domain,Hymn,Final,,,ChordSheet,i-stand-amazed-how-marvelous-G.pdf
84,,,,I Stand In Awe,,Mark Altrogge,A,A,76,4-Apr,23914,1987,Sovereign Grace Praise,Intermediate,Final,,,ChordSheet,i-stand-in-awe-A.pdf
85,,,,I Surrender All,,"Judson DeVenter, Winfield Weeden",D,D,74,4-Apr,23189,1896,Public Domain,Hymn,Final,,,ChordSheet,i-surrender-all-D.pdf
86,,,,I Will Follow,,"Chris Tomlin, Jason Ingram",A,Bb,96,4-Apr,5806878,2010,SHOUT! Music Publishing Australia,Contemporary,Final,,,ChordSheet,i-will-follow-A.pdf
87,,,,I Will Rise,,"Chris Tomlin, Jesse Reeves",B,B,82,4-Apr,5183450,2008,sixsteps Music,Contemporary,Final,,,ChordSheet,i-will-rise-B.pdf
88,,,,I Will Sing Of My Redeemer,,"Travis Cottrell, Philip Paul Bliss",D,Eb,66,8-Sep,7074703,1876,Public Domain,Hymn,Final,,,ChordSheet,i-will-sing-of-my-redeemer-D.pdf
89,,,,I Will Sing The Wondrous Story,,Francis H. Rawley,F,F,120,4-Mar,2328610,1886,Public Domain,Hymn,Final,,,ChordSheet,i-will-sing-the-wondrous-story-F.pdf
90,,,,I'll Fly Away,,Albert E. Brumley,G,G,120,4-Apr,26399,1932,Hartford Music Company,Hymn,Final,,,ChordSheet,in-christ-alone-D.pdf
91,,,,In Christ Alone,,"Keith Getty, Stuart Townend",D,D,60,4-Mar,3350395,2001,Thankyou Music,Contemporary,Final,,,ChordSheet,indescribable-G.pdf
92,,,,Indescribable,,"Jesse Reeves, Laura Story",G,Bb,60,8-Jun,4403076,2004,Laura Stories,Contemporary,Final,,,ChordSheet,it-is-well-grander-earth-G.pdf
93,,,,It Is Well,Grander Earth,"Kristene DiMarco, Horatio Spafford",G,G,65,3/4+4/4,7021972,2013,Bethel Music Publishing,Contemporary,Final,,,ChordSheet,it-is-well-with-my-soul-C.pdf
94,,,,It Is Well With My Soul,,Horatio G. Spafford,C,C,0,4-Apr,25376,1873,Public Domain,Hymn,Final,,,ChordSheet,ill-fly-away-G.pdf
95,,,,Jesus I Am Resting,,Jean Sophia Pigott,G,G,0,4-Apr,148576,1876,Public Domain,Hymn,Final,,,ChordSheet,jesus-i-am-resting-resting-G.pdf
96,,,,Jesus Is Alive,,"Michael Farren, Tiarne Tranter",C,C,65,8-Jun,7121850,2018,CityAlight Music,Contemporary,Final,,,ChordSheet,jesus-is-alive-C.pdf
97,,,,Jesus Messiah,,"Chris Tomlin, Daniel Carson",B,B,86,4-Apr,5183443,2008,sixsteps Music,Contemporary,Final,,,ChordSheet,jesus-messiah-B.pdf
98,,,,Jesus Paid It All,,Elvina M. Hall,C,Db,76,4-Mar,22331,1865,Public Domain,Hymn,Final,,,ChordSheet,jesus-paid-it-all-C.pdf
99,,,,Jesus Son Of God,,"Chris Tomlin, Jason Ingram",B,B,76,4-Apr,6223539,2012,S. D. G. Publishing,Contemporary,Final,,,ChordSheet,jesus-son-of-god-B.pdf
100,,,,Just As I Am,,Charlotte Elliot,C,Db,86,4-Jun,23206,1835,Public Domain,Hymn,Final,,,ChordSheet,just-as-i-am-C.pdf
101,,,,Just As I Am,I Come Broken,"Charlotte Elliott, David Moffitt",A,A,73,4-Mar,5635850,2009,CCTB Music,Contemporary,Final,,,ChordSheet,just-as-i-am-i-come-broken-A.pdf
102,,,,King Of Kings,,"Brooke Ligertwood, Scott Ligertwood",D,D,68,4-Apr,7127647,2019,Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,king-of-kings-D.pdf
103,,,,King Of My Heart,,"John M. McMillan, Sarah McMillan",A,Bb,68,4-Apr,7046145,2015,Meaux Jeaux Music,Contemporary,Final,,,ChordSheet,king-of-my-heart-A.pdf
104,,,,Knowing You,All I Once Held Dear,Graham Kendrick,C,C,54,4-Apr,1045238,1993,Make Way Music,Intermediate,Final,,,ChordSheet,knowing-you-C.pdf
105,,,,Lamb Of God,,Twila Paris,C,C,52,4-Mar,16787,1985,Mountain Spring Music,Intermediate,Final,,,ChordSheet,lamb-of-god-C.pdf
106,,,,Lay Me Down,,"Chris Tomlin, Jason Ingram",C,C,130,4-Apr,6223577,2012,Atlas Mountain Songs,Contemporary,Final,,,ChordSheet,lay-me-down-C.pdf
107,,,,Lead Me To The Cross,Quiet I Come,Brooke Ligertwood,D,D,75,4-Apr,4785828,2006,Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,lead-me-to-the-cross-D.pdf
108,,,,Like A River Glorious,,James Mountain,F,F,0,4-Apr,33935,1874,Public Domain,Hymn,Final,,,ChordSheet,like-a-river-glorious-F.pdf
109,,,,"Lion And The Lamb, The",,"Brenton Brown, Brian Johnson",B,B,90,4-Apr,7038281,2015,Meaux Mercy,Contemporary,Final,,,ChordSheet,lion-and-the-lamb-the-B.pdf
110,,,,Living Hope,,"Phil Wickham, Brian Johnson",D,Eb,72,4-Apr,7106807,2017,Phil Wickham Music,Contemporary,Final,,,ChordSheet,living-hope-D.pdf
111,,,,Lord I Lift Your Name On High,,Rick Founds,G,G,86,4-Apr,117947,1989,Universal Music,Intermediate,Final,,,ChordSheet,lord-i-lift-your-name-on-high-G.pdf
112,,,,Lord I Need You,,"Christy Nockels, Daniel Carson",B,B,74,4-Apr,5925687,2011,sixsteps Music,Contemporary,Final,,,ChordSheet,lord-i-need-you-B.pdf
113,,,,"Lord Is My Salvation, The",,"Jonas Myrin, Keith Getty",A,A,69,4-Apr,7063694,2016,Capitol CMG Paragon,Contemporary,Final,,,ChordSheet,lord-is-my-salvation-the-A.pdf
114,,,,"Lord Our God, The",,"Jason Ingram, Kristian Stanfill",C,C,72,4-Apr,6518055,2013,sixsteps Music,Contemporary,Final,,,ChordSheet,lord-our-god-the-C.pdf
115,,,,"Love Of God, The",,Frederick M. Lehman,D,D,82,4-Mar,18448,1917,Public Domain,Hymn,Final,,,ChordSheet,love-of-god-the-D.pdf
116,,,,Majesty,,Jack Hayford,A,Bb,0,4-Apr,1527,1981,New Spring,Intermediate,Final,,,ChordSheet,majesty-A.pdf
117,,,,Majesty,Here I Am,"Martin Smith, Stuart Garrard",A,Bb,68,4-Apr,4219071,2004,Curious? Music UK,Contemporary,Final,,,ChordSheet,majesty-here-i-am-A.pdf
118,,,,Man Of Sorrows,,"Brooke Ligertwood, Matt Crocker",F,F,72,4-Apr,6476063,2012,Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,man-of-sorrows-F.pdf
119,,,,Mercy,,"Matt Redman, Jonas Myrin",C,C,73,4-Apr,7000689,2013,Atlas Mountain Songs,Contemporary,Final,,,ChordSheet,mercy-C.pdf
120,,,,Mighty To Save,,"Ben Fielding, Reuben Morgan",A,A,74,4-Apr,4591782,2006,Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,mighty-to-save-A.pdf
121,,,,Mine Eyes Have Seen The Glory,Battle Hymn,Julia W. Howe,G,Bb,90,4-Apr,24133,1862,Public Domain,Hymn,Final,,,ChordSheet,mine-eyes-have-seen-the-glory-battle-hymn-G.pdf
122,,,,Mountain,,"Matt Crocker, Joel Houston",D,D,76,4-Apr,6428853,2012,Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,mountain-D.pdf
123,,,,Mountain,You're Wonderful,"Bryan Torwalt, Katie Torwalt",B,B,91,4-Apr,7065990,2016,Phil Wickham Music,Contemporary,Final,,,ChordSheet,mountain-youre-wonderful-B.pdf
124,,,,My Lighthouse,,"Gareth Gilkeson, Chris Llewellyn",C,C,110,4-Apr,7002032,2013,Thankyou Music,Contemporary,Final,,,ChordSheet,my-lighthouse-C.pdf
125,,,,My Redeemer Lives,,Reuben Morgan,E,E,138,4-Apr,2397964,1998,Hillsong Music Publishing Australia,Intermediate,Final,,,ChordSheet,my-redeemer-lives-E.pdf
126,,,,Nearer My God To Thee,,Sarah F. F. Adams,F,F,100,4-Apr,78835,1841,Public Domain,Hymn,Final,,,ChordSheet,nearer-my-god-to-thee-F.pdf
127,,,,New Wine,,Brooke Ligertwood,A,Bb,77,4-Apr,7102397,2017,Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,new-wine-A.pdf
128,,,,No Longer Slaves,,"Jonathan D. Helser, Brian Johnson",A,Bb,74,4-Apr,7030123,2014,Bethel Music Publishing,Contemporary,Final,,,ChordSheet,no-longer-slaves-A.pdf
